observacao_id,coord_x_4674,coord_y_4674,argila_naoh_pipeta
sm-dnos-001,-53.794645,-29.651271,44
sm-dnos-002,-53.793987,-29.650564,102
sm-dnos-003,-53.793993,-29.650232,99
sm-dnos-004,-53.794345,-29.650311,82
sm-dnos-005,-53.792947,-29.650838,100
sm-dnos-006,-53.793499,-29.649951,156
sm-dnos-007,-53.793272,-29.649962,169
sm-dnos-008,-53.793633,-29.648468,102
sm-dnos-009,-53.793707,-29.647836,68
sm-dnos-010,-53.793019,-29.64797,91
sm-dnos-011,-53.792816,-29.64804,69
sm-dnos-012,-53.79206,-29.64927,110
sm-dnos-013,-53.79184,-29.648724,76
sm-dnos-014,-53.792442,-29.648539,115
sm-dnos-015,-53.792655,-29.648548,143
sm-dnos-016,-53.792509,-29.647109,109
sm-dnos-017,-53.79256,-29.646736,87
sm-dnos-018,-53.792256,-29.646199,44
sm-dnos-019,-53.792114,-29.645725,78
sm-dnos-020,-53.791419,-29.646682,79
sm-dnos-021,-53.793887,-29.652717,105
sm-dnos-022,-53.790043,-29.648311,81
sm-dnos-023,-53.78955,-29.648663,70
sm-dnos-024,-53.788403,-29.649114,39
sm-dnos-025,-53.786795,-29.650051,50
sm-dnos-026,-53.786729,-29.650198,58
sm-dnos-027,-53.786439,-29.647667,122
sm-dnos-028,-53.786838,-29.647463,53
sm-dnos-029,-53.785726,-29.646196,44
sm-dnos-030,-53.782776,-29.642239,58
sm-dnos-031,-53.782604,-29.641715,76
sm-dnos-032,-53.78358,-29.643612,83
sm-dnos-033,-53.783181,-29.644809,115
sm-dnos-034,-53.786181,-29.645831,75
sm-dnos-035,-53.79162,-29.65165,113
sm-dnos-036,-53.790323,-29.650243,116
sm-dnos-037,-53.789106,-29.649981,55
sm-dnos-038,-53.788766,-29.650904,66
sm-dnos-039,-53.788001,-29.651884,33
sm-dnos-040,-53.78967,-29.652096,117
sm-dnos-041,-53.790849,-29.6533,85
sm-dnos-042,-53.788561,-29.654778,91
sm-dnos-043,-53.788313,-29.654537,104
sm-dnos-044,-53.790373,-29.654251,69
sm-dnos-045,-53.796479,-29.653913,230
sm-dnos-046,-53.795904,-29.653944,219
sm-dnos-047,-53.797283,-29.654583,243
sm-dnos-048,-53.799054,-29.654445,113
sm-dnos-049,-53.799533,-29.653968,160
sm-dnos-050,-53.799876,-29.653101,163
sm-dnos-051,-53.798608,-29.653072,91
sm-dnos-052,-53.797866,-29.653518,125
sm-dnos-053,-53.795823,-29.653543,160
sm-dnos-054,-53.794759,-29.65719,89
sm-dnos-055,-53.798576,-29.655777,80
sm-dnos-056,-53.800101,-29.656367,88
sm-dnos-057,-53.802126,-29.656873,102
sm-dnos-058,-53.801405,-29.657328,79
sm-dnos-059,-53.795093,-29.656811,51
sm-dnos-060,-53.79213,-29.655161,106
sm-dnos-061,-53.793303,-29.655905,64
sm-dnos-062,-53.799539,-29.652645,146
sm-dnos-063,-53.807537,-29.652779,85
sm-dnos-064,-53.806834,-29.652269,70
sm-dnos-065,-53.806154,-29.651724,51
sm-dnos-066,-53.808047,-29.651232,40
sm-dnos-067,-53.810477,-29.650894,52
sm-dnos-068,-53.810061,-29.650623,37
sm-dnos-069,-53.804721,-29.651086,87
sm-dnos-070,-53.803219,-29.651684,113
sm-dnos-071,-53.804261,-29.652893,111
sm-dnos-072,-53.802675,-29.652871,121
sm-dnos-073,-53.803316,-29.653768,216
sm-dnos-074,-53.802057,-29.65548,38
sm-dnos-075,-53.801966,-29.654216,80
sm-dnos-076,-53.801884,-29.651857,113
sm-dnos-077,-53.801571,-29.649229,126
sm-dnos-078,-53.800074,-29.648679,176
sm-dnos-079,-53.798709,-29.649183,183
sm-dnos-080,-53.79658,-29.647794,134
sm-dnos-081,-53.798624,-29.647548,152
sm-dnos-082,-53.800643,-29.646427,73
sm-dnos-083,-53.801826,-29.646066,124
sm-dnos-084,-53.802176,-29.648401,116
sm-dnos-085,-53.800361,-29.651218,148
sm-dnos-086,-53.79877,-29.651636,228
sm-dnos-087,-53.797196,-29.650298,148
sm-dnos-088,-53.796987,-29.649121,90
sm-dnos-089,-53.794885,-29.649711,119
sm-dnos-090,-53.795826,-29.650713,147
sm-dnos-091,-53.796188,-29.652779,148
sm-dnos-092,-53.794408,-29.654742,77
sm-dnos-093,-53.797649,-29.657177,114
sm-dnos-094,-53.800373,-29.655175,55
sm-dnos-095,-53.806399,-29.654389,161
sm-dnos-096,-53.804268,-29.656062,143
sm-dnos-097,-53.805302,-29.657426,160
sm-dnos-098,-53.807257,-29.657608,167
sm-dnos-099,-53.80759,-29.656464,50
sm-dnos-100,-53.809483,-29.655057,266
sm-dnos-101,-53.810455,-29.653456,63
sm-dnos-102,-53.813868,-29.653407,214
sm-dnos-103,-53.815807,-29.651554,126
sm-dnos-104,-53.817632,-29.649864,229
sm-dnos-105,-53.818873,-29.647536,140
sm-dnos-106,-53.820936,-29.647208,219
sm-dnos-107,-53.819961,-29.644967,321
sm-dnos-108,-53.817577,-29.645775,282
sm-dnos-109,-53.816721,-29.644392,276
sm-dnos-110,-53.816153,-29.646251,199
sm-dnos-111,-53.816611,-29.648404,205
sm-dnos-112,-53.811275,-29.6551,196
sm-dnos-113,-53.807366,-29.653931,96
sm-dnos-114,-53.808993,-29.651437,68
sm-dnos-115,-53.812923,-29.649653,112
sm-dnos-116,-53.813232,-29.65128,35
sm-dnos-117,-53.814701,-29.649635,37
sm-dnos-118,-53.81388,-29.647975,131
sm-dnos-119,-53.814177,-29.646382,75
sm-dnos-120,-53.814058,-29.644258,76
sm-dnos-121,-53.812037,-29.643926,307
sm-dnos-122,-53.810899,-29.641713,55
sm-dnos-123,-53.803386,-29.649988,141
sm-dnos-124,-53.80643,-29.649006,73
sm-dnos-125,-53.808957,-29.648853,77
sm-dnos-126,-53.811243,-29.649264,81
sm-dnos-127,-53.811811,-29.647241,58
sm-dnos-128,-53.808963,-29.64702,60
sm-dnos-129,-53.806336,-29.647018,59
sm-dnos-130,-53.804158,-29.647128,67
sm-dnos-131,-53.805031,-29.643413,67
sm-dnos-132,-53.804305,-29.645335,154
sm-dnos-133,-53.80691,-29.644425,75
sm-dnos-134,-53.809659,-29.64505,209
sm-dnos-135,-53.812042,-29.645162,214
sm-dnos-136,-53.814595,-29.641137,195
sm-dnos-137,-53.814757,-29.642793,86
sm-dnos-138,-53.809797,-29.642767,83
sm-dnos-139,-53.806685,-29.641557,126
sm-dnos-140,-53.787549,-29.641442,319
sm-dnos-141,-53.790576,-29.642679,171
sm-dnos-142,-53.788381,-29.63922,298
sm-dnos-143,-53.786019,-29.637508,298
sm-dnos-144,-53.788554,-29.637093,295
sm-dnos-145,-53.785555,-29.634745,360
sm-dnos-146,-53.782922,-29.63555,232
sm-dnos-147,-53.770017,-29.640732,268
sm-dnos-148,-53.773006,-29.640575,144
sm-dnos-149,-53.775973,-29.639462,121
sm-dnos-150,-53.776691,-29.637458,161
sm-dnos-151,-53.773347,-29.637918,324
sm-dnos-152,-53.770344,-29.638366,316
sm-dnos-153,-53.774149,-29.6352,764
sm-dnos-154,-53.770128,-29.635703,405
sm-dnos-155,-53.770967,-29.633143,390
sm-dnos-156,-53.775819,-29.630383,132
sm-dnos-157,-53.771754,-29.630468,238
sm-dnos-158,-53.772261,-29.627864,456
sm-dnos-159,-53.793845,-29.641301,120
sm-dnos-160,-53.795824,-29.63928,255
sm-dnos-161,-53.792181,-29.639704,82
sm-dnos-162,-53.793533,-29.637754,314
sm-dnos-163,-53.791644,-29.637043,70
sm-dnos-164,-53.79277,-29.634679,123
sm-dnos-165,-53.793491,-29.632815,78
sm-dnos-166,-53.792412,-29.632731,48
sm-dnos-167,-53.789929,-29.631019,94
sm-dnos-168,-53.789562,-29.633504,277
sm-dnos-169,-53.808173,-29.640348,118
sm-dnos-170,-53.791219,-29.659826,58
sm-dnos-171,-53.791357,-29.661561,38
sm-dnos-172,-53.790273,-29.661112,47
sm-dnos-173,-53.788316,-29.660327,180
sm-dnos-174,-53.791491,-29.657305,92
sm-dnos-175,-53.788747,-29.656993,76
sm-dnos-176,-53.785327,-29.65311,63
sm-dnos-177,-53.783219,-29.651386,104
sm-dnos-178,-53.783879,-29.649234,244
sm-dnos-179,-53.780514,-29.648612,170
sm-dnos-180,-53.778733,-29.646016,137
sm-dnos-181,-53.777791,-29.644165,190
sm-dnos-182,-53.77652,-29.642462,105
sm-dnos-183,-53.772698,-29.64255,176
sm-dnos-184,-53.773951,-29.632775,158
sm-dnos-185,-53.77524,-29.62796,274
sm-dnos-186,-53.779236,-29.630274,202
sm-dnos-187,-53.779139,-29.628052,314
sm-dnos-188,-53.783342,-29.627437,246
sm-dnos-189,-53.785368,-29.628124,215
sm-dnos-190,-53.785349,-29.625145,327
sm-dnos-191,-53.787398,-29.62342,454
sm-dnos-192,-53.788318,-29.621231,413
sm-dnos-193,-53.790046,-29.61797,329
sm-dnos-194,-53.7917,-29.615567,374
sm-dnos-195,-53.793258,-29.618216,257
sm-dnos-196,-53.795506,-29.614269,420
sm-dnos-197,-53.793946,-29.611541,408
sm-dnos-198,-53.796737,-29.61049,491
sm-dnos-199,-53.798536,-29.612433,281
sm-dnos-200,-53.796745,-29.616664,397
sm-dnos-201,-53.797217,-29.619087,403
sm-dnos-202,-53.789514,-29.625137,319
sm-dnos-203,-53.791354,-29.624543,298
sm-dnos-204,-53.792262,-29.620957,381
sm-dnos-205,-53.795304,-29.621054,324
sm-dnos-206,-53.79328,-29.624849,269
sm-dnos-207,-53.797944,-29.624563,308
sm-dnos-208,-53.798718,-29.621531,401
sm-dnos-209,-53.80126,-29.628894,338
sm-dnos-210,-53.800734,-29.624383,305
sm-dnos-211,-53.801974,-29.622385,252
sm-dnos-212,-53.805302,-29.622928,280
sm-dnos-213,-53.804503,-29.620519,275
sm-dnos-214,-53.801228,-29.618387,267
sm-dnos-215,-53.822924,-29.623346,238
sm-dnos-216,-53.819207,-29.621771,218
sm-dnos-217,-53.816321,-29.620647,154
sm-dnos-218,-53.817553,-29.616431,294
sm-dnos-219,-53.816231,-29.618045,166
sm-dnos-220,-53.813617,-29.614749,209
sm-dnos-221,-53.812664,-29.616864,263
sm-dnos-222,-53.813449,-29.619463,186
sm-dnos-223,-53.809642,-29.617424,146
sm-dnos-224,-53.81223,-29.610305,322
sm-dnos-225,-53.809643,-29.613359,297
sm-dnos-226,-53.80738,-29.615494,292
sm-dnos-227,-53.817121,-29.624174,73
sm-dnos-228,-53.815956,-29.626721,90
sm-dnos-229,-53.814091,-29.629407,96
sm-dnos-230,-53.81169,-29.631197,88
sm-dnos-231,-53.813642,-29.63279,103
sm-dnos-232,-53.820196,-29.623587,238
